GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION,VIDEO_AVAILABLE_FLAG
0041200115,0,12,0,1,7:16 PM,12:00,,Start of 1st Period (7:16 PM EST),,,,0,0,,,,,,0,0,,,,,,0,0,,,,,,0
0041200115,1,10,0,1,7:17 PM,12:00,Jump Ball Chandler vs. Garnett: Tip to Bass,,,,,4,2199,Tyson Chandler,1610612752.0,New York,Knicks,NYK,5,708,Kevin Garnett,1610612738.0,Boston,Celtics,BOS,5,101138,Brandon Bass,1610612738.0,Boston,Celtics,BOS,0
0041200115,2,2,1,1,7:17 PM,11:43,,,MISS Pierce 24' 3PT Jump Shot,,,5,1718,Paul Pierce,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,0,0,,,,,,0
0041200115,3,4,0,1,7:17 PM,11:41,Shumpert REBOUND (Off:0 Def:1),,,,,4,202697,Iman Shumpert,1610612752.0,New York,Knicks,NYK,0,0,,,,,,0,0,,,,,,0
0041200115,4,5,21,1,7:18 PM,11:18,Shumpert Palming Turnover (P1.T1),,,,,4,202697,Iman Shumpert,1610612752.0,New York,Knicks,NYK,0,0,,,,,,1,0,,,,,,0
0041200115,5,2,1,1,7:18 PM,11:02,,,MISS Garnett 12' Jump Shot,,,5,708,Kevin Garnett,1610612738.0,Boston,Celtics,BOS,0,0,,,,,,0,0,,,,,,0
0041200115,6,4,0,1,7:18 PM,11:00,Anthony REBOUND (Off:0 Def:1),,,,,4,2546,Carmelo Anthony,1610612752.0,New York,Knicks,NYK,0,0,,,,,,0,0,,,,,,0
0041200115,7,6,2,1,7:19 PM,10:44,,,Bass S.FOUL (P1.T1),,,5,101138,Brandon Bass,1610612738.0,Boston,Celtics,BOS,4,2546,Carmelo Anthony,1610612752.0,New York,Knicks,NYK,1,0,,,,,,0
0041200115,8,3,11,1,7:19 PM,10:44,Anthony Free Throw 1 of 2 (1 PTS),,,0 - 1,1,4,2546,Carmelo Anthony,1610612752.0,New York,Knicks,NYK,0,0,,,,,,0,0,,,,,,0
0041200115,10,3,12,1,7:19 PM,10:44,Anthony Free Throw 2 of 2 (2 PTS),,,0 - 2,2,4,2546,Carmelo Anthony,1610612752.0,New York,Knicks,NYK,0,0,,,,,,0,0,,,,,,0
